"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program","KY","Healthcare Provider","708","06/01/2010","Hacking/IT Incident","Network Server","No","An outside computer’s unique numerical code (Internet Protocol address) accessed the covered entity’s (CE) website which contained a database containing the protected health information of 708 patients.  The types of PHI involved in the breach included names, social security numbers, and treatment information.  The CE provided breach notification to HHS and affected individuals.  Following the breach, the CE disabled the website containing the breached PHI.  As a result of OCR’s investigation, the CE removed social security numbers from its site, added a time out feature, retrained staff, and completed a risk assessment."
"Cincinnati Childrens Hospital Medical Center ","OH","Healthcare Provider","60998","06/01/2010","Theft","Laptop","No","An unencrypted laptop computer containing the electronic protected health information (ePHI) of 60,998 individuals was stolen out of a workforce member's car.  The ePHI stored on the laptop included names, medical record numbers, and services received.  The covered entity (CE) provided breach notification to affected individuals, HHS, and the media.  Following the breach, the CE established a new internal procedure to encrypt all new computers before they are given to employees.  OCR obtained assurances that the CE implemented the corrective action listed above.\\\"
"Occupational Health Partners","KS","Healthcare Provider","1105","06/01/2010","Theft","Laptop","No","\N"
"AvMed, Inc.","FL","Health Plan","1220000","06/03/2010","Theft","Laptop","No","Two laptop computers with questionable encryption (each containing the electronic protected health information (ePHI) of 350,000 individuals) were stolen from the covered entity's (CE) premises.  The types of ePHI involved included demographic and clinical information, diagnoses/conditions, medications, lab results, and other treatment data.  After discovering the breach, the CE reported the theft to law enforcement and worked with the local police to recover the laptops.  As a result of OCR's investigation, the CE developed and implemented new policies and procedures to comply with the Security Rule.  The CE also provided breach notification to all affected individuals, HHS, and the media and placed an accounting of disclosures in the medical records of all affected individuals."
"UnitedHealth Group health plan single affiliated covered entity","MN","Health Plan","16291","06/04/2010","Other","Paper/Films","No","Paper correspondence to certain members in UnitedHealth's prescription drug plans were in advertently sent to the incorrect temporary address due to a database administration error.  Approximately 16,291 individuals were affected by the breach. UnitedHealth member's name, plan number and in some instances, date of birth and/or limited medical information. United Health reported that it stopped using PDI's proprietary database for address updates and made outbound verifications calls to members to get accurate temporary addresses.   United Health reported that it revised its address update process.   \"
"Siemens Medical Solutions, USA, Inc","PA","Business Associate","130495","06/04/2010","Theft","Other","Yes","The covered entity's business associate (BA), Siemens Medical Solutions USA, Inc., shipped seven unencrypted compact disks (CDs) that contained the electronic protected health information (ePHI) of 130,495 individuals to the covered entity (CE), Lincoln Medical and Mental Health Center.  The CD's, containing back-up data, were lost in transit.  The ePHI included names, addresses, social security numbers, medical record numbers, health plan information, dates of birth, dates of admission and discharge, diagnostic and procedural codes, and driver's license numbers.  The CE provided breach notification to affected individuals, HHS, and the media.  Upon discovery of the breach, the CE directed the BA to cease using the shipping service as a means of transporting the CDs.  As a result of OCR's investigation, the BA adopted a procedure to encrypt CDs.  The CE also implemented a procedure for a senior employee of the BA to physically deliver the encrypted CDs to the CE.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
"Nihal Saran, MD ","MI","Healthcare Provider","2300","06/04/2010","Theft","Laptop","No","A password protected laptop computer containing protected health information (PHI) was stolen from Dr. Saran's personal residence.  The laptop contained the PHI of approximately 2,300 individuals.  The PHI stored on the laptop included patients' names, addresses, dates of birth, Social Security numbers, insurance information, and diagnoses.  Following the breach, Dr. Saran notified the Northville Township Police Department of the theft, contacted the individuals reasonably believed to have been affected by the breach, sent a notice of the breach to the Detroit Free Press and the Monroe News, and installed encryption software for its billing software.\"
"St. Jude Children's Research Hospital","TN","Healthcare Provider","1745","06/08/2010","Loss","Laptop","No","\N"
"DentaQuest","MA","Business Associate","10515","06/09/2010","Theft","Laptop","Yes","A car containing an unencrypted laptop computer was stolen from West Monroe Partners, a contractor for the covered entity's (CE) business associate (BA), DentaQuest.  The laptop stored a database containing the electronic protected health information (ePHI) of approximately 76,000 individuals, including data on 10,515 of the CE's members.  The types of PHI involved in the breach included names, social security numbers, dates, and certain provider identification numbers.  The CE and BA worked together to provide breach notification to affected individuals and the media, and offered free credit monitoring and enhanced credit services to affected individuals for one year. The CE reported the breach to HHS and provided substitute notification on its website.  The BA implemented procedures to ensure that any third party laptops connecting to its network employ disk encryption.  Further, the BA established a policy to prohibit contractors from storing PHI on laptops.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.\\"
"Comprehensive Care Management Corporation","NY","Health Plan","1020","06/14/2010","Theft","Desktop Computer, Email, Laptop, Network Server","No","OCR opened an investigation of the covered entity (CE), Comprehensive Care Management Corporation, after it reported two former employees sent emails that contained the electronic protected health information (ePHI) of 1,020 individuals to their personal email accounts to open a competitor organization.  The ePHI included names, addresses, and enrollment information.  Upon discovery of the breach, the CE conducted an internal inquiry and found that the former employees disclosed the ePHI to its competitor.  As a result of OCR's investigation, the CE replaced and strengthened external firewalls, restricted access to email websites, restricted the use of portable devices, limited the ability to upload data to external websites, and evaluated new monitor and control software for network information.  In addition, the CE provided training to all staff on its HIPAA policies and procedures.  The CE also entered into an agreement with its competitor who hired the former employees to return or destroy the ePHI."
"The Children's Medical Center of Dayton","OH","Healthcare Provider","1001","06/14/2010","Other","Email","No","\N"
"University of Kentucky","KY","Healthcare Provider","2027","06/18/2010","Theft","Laptop","No","A laptop computer containing the protected health information (PHI) of approximately 2,027 individuals was stolen from the covered entity (CE), University of Kentucky, Department of Pediatrics.  The information was part of the New Born Screening Program sent to that department by the state screening program.  The types of PHI involved in the breach included demographic information, specifically, names, addresses, dates of birth, social security numbers, and other identifiers, and clinical information.  As a result of OCR’s investigation the CE provided OCR with an updated status report of its encryption project that it had previously reported as one of its corrective measures. It also trained workforce members on encryption of computing devices and provided reminders to workforce members about its facility locking procedures.  Additionally, the CE provided a report of its information security assessment with details of security gaps as evidence of its risk analysis, along with recommendations for remediation of the gaps identified in the assessment.  The CE also improved physical safeguards.  The CE provided documentation of compliance with the applicable notification provisions of the Breach Notification Rule.  It also updated its accounting of disclosures policy, and drafted a new policy relating to accounting of disclosures regarding breach incidents.   "
"alma aguado md pa","TX","Healthcare Provider","600","06/21/2010","Theft","Network Server","No","OCR investigated the covered entity (CE) following a report that its main server and desktop computers containing the electronic protected health information (ePHI) of 600 individuals were taken from the CE's office.  The ePHI involved in the breach included patient names, addresses, dates of birth, and social security numbers.  As a result of OCR's investigation, the CE changed its privacy and security policies, retrained its employees and provided additional physical security to better safeguard patient ePHI."
"Augusta Data Storage, Inc","GA","Business Associate","14000","06/21/2010","Loss","Other","Yes","\N"
"University Health System","NV","Healthcare Provider","7526","06/22/2010","Theft","Network Server","No","\N"
"Aramark Healthcare Support Services, LLC","PA","Business Associate","937","06/24/2010","Other","Email","Yes","A business associate employee sent an email to multiple patients without concealing patient email addresses.  The message concerned a dietary program in which the names and email addresses were visible to all recipients.  The breach affected 937 individuals.  In response to this incident, the covered entity took steps to enforce the requirements of its business associate agreement with Aramark.  The business associate counseled the employee responsible for the breach and retrained all employees who may communicate with patients via email on the requirements of the Privacy and Security Rules as well as related policies and procedures.\"
"Mary M. Desch,MD/PathHealer, LTD","AZ","Healthcare Provider","5893","06/28/2010","Theft","Laptop","No","\N"
"Children's Hospital & Research Center at Oakland","CA","Healthcare Provider","1000","06/29/2010","Other","Paper/Films","No","\N"
"Centerstone","TN","Healthcare Provider","1537","07/02/2010","Theft","Desktop Computer, Paper/Films","No","A major flooding event damaged a building where the CE operated its school-based program offices.  The flooding was so significant that the area was deemed a federal disaster area.  An estimated 1,537 individuals were affected by the loss of data due to flood damage.  The types of PHI involved were names, addresses, dates of birth, and social security numbers.  After the flood, the CE attempted to collect as much PHI as it could from the site but access was limited by authorities because the building was deemed toxic and salvage cleanup commenced prior to the CE's ability to access the building.  PHI in paper format was either washed away or disposed of during salvage procedures.  Computers and equipment in the building were destroyed by water damage.  Because the CE relied primarily on their electronic health records stored on an offsite server, medical data was still intact for continuity of care purposes.  The CE provided breach notification to individuals, HHS, and the media, and posted substitute notice on its website.  The CE has since moved its school-based operations to a CE owned facility.  OCR obtained assurances that the CE implemented the corrective action listed above."
"Care 1st Health Plan","CA","Business Associate","29000","07/06/2010","Loss, Other","Other, Other Portable Electronic Device","Yes","\N"
"NYU Hospitals Center","NY","Healthcare Provider","2563","07/07/2010","Theft","Other Portable Electronic Device","No","The covered entity (CE) misplaced an unencrypted USB drive that contained the electronic protected health information (ePHI) of 2,563 individuals.  The ePHI included names, medical record numbers, ages, genders, procedures, attending physicians' names, anesthesiologists' names, types of anesthesia, times of arrival in the recovery room, and times of discharge.  Upon discovery of the breach, the CE reported the incident to internal security as a possible theft and conducted a thorough search of the perimeter.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE stopped using USB drives and local desktop computers for data storage.  In addition, the CE updated physical security in the recovery room and installed data prevention software to monitor, block or encrypt mobile media used in the CE.  Further, the CE purchased encrypted USB drives for workforce members with an identified need to download and store ePHI.  The CE also revised its mobile device and portable storage media policy and retrained all workforce members on its policies."
"Long Island Consultation Center","NY","Healthcare Provider","800","07/07/2010","Theft","Other, Other Portable Electronic Device","No","The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. "
"SunBridge Healthcare Corporation","NM","Healthcare Provider","3830","07/08/2010","Theft","Laptop","No","A laptop computer containing the electronic protected health information (EPHI) of 3,830 individuals was stolen out of a workforce member’s vehicle.  The types of ePHI included names, birthdates, social security numbers, claims information, financial information, diagnoses/conditions, medications, lab results, and other treatment information. The covered entity (CE), SunBridge Healthcare Corporation, provided breach notification to HHS, affected individuals, and the media, and provided individuals with identity theft protection services. As a result of OCR’s investigation the CE updated its risk analysis, re-educated its workforce members on proper laptop security protocols, and installed encryption software to protect ePHI.  "
"University of Florida","FL","Healthcare Provider","2047","07/08/2010","Other","Paper/Films","No","The covered entity (CE), University of Florida Department of Epidemiology and Health Policy Research, mailed approximately 2,047 letters that contained an identifier on the address label that was an adaptation of either a child’s social security number or Medicaid identification number.  The types of protected health information (PHI) involved in the breach included names, social security numbers, or Florida Medicaid numbers of the patients.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE recalled the faulty files from the printing company and the medical survey company and updated its procedures and forms to ensure that data is handled in accordance with the Privacy Rule.  The CE provided OCR with its 2011 Training Schedule for Research Coordinators at the Institute of Child Health Policy (ICHP).  Included in this year-long training is a section dedicated to Regulatory Compliance, including the importance of HIPAA and data security.  The CE also sanctioned the employees involved in the breach.  OCR’s investigation resulted in the CE improving its physical safeguards and retraining employees."
"Governor's Office of Information Technology","CO","Business Associate","105470","07/09/2010","Theft","Desktop Computer","Yes","\N"
"Prince William County Community Services (CS)","VA","Healthcare Provider","669","07/15/2010","Theft","Other Portable Electronic Device","No","\N"
"UnitedHealthcare Insurance Company ","MN","Business Associate","1097","07/17/2010","Other","Paper/Films","Yes","\N"
"Iron Mountain Data Products, Inc. (now known as ","PA","Business Associate","800000","07/19/2010","Loss","Electronic Medical Record, Other, Other Portable Electronic Device","Yes","\N"
"DC Chartered Health Plan, Inc","DC","Health Plan","540","07/23/2010","Theft","Laptop","No","\N"
"Medina OB/GYN Associates, Inc","OH","Business Associate","1200","07/23/2010","Improper Disposal","Paper/Films","Yes","\N"
"Montefiore Medical Center","NY","Healthcare Provider","16820","07/23/2010","Theft","Desktop Computer","No","Two unencrypted desktop computers containing the electronic protected health information (ePHI) of 16,820 individuals were stolen from the covered entity (CE).  The ePHI included medical record numbers, dates of birth, admission /discharge dates, billing codes, and social security numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  It also provide substitute notification by posting on its website.  As a result of OCR's investigation, the CE replaced its building alarm and installed bars on the windows.  In addition, the CE directed its staff to save patient data only on a centralized network drive, moved all ePHI stored on desktop hard drives to centralized secured network servers, and encrypted all of its computers.   The CE also revised its policy and procedure on password management and provided training to all staff on its new policy."
"Montefiore Medical Center","NY","Healthcare Provider","23753","07/23/2010","Theft","Desktop Computer","No","OCR opened an investigation of the covered entity (CE), Montefiore Medical Center, after it reported three unencrypted desktop computers were stolen that contained the electronic protected health information (ePHI) of 23,753 individuals.  The ePHI included names, medical record numbers, dates of birth, parent or guardian contact numbers, asthma diagnoses, vaccination information, and number of visits to the school health clinic.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE updated its building alarm to include additional motion sensors and installed surveillance cameras.  Further, the CE encrypted all of its computers, advised that no ePHI is stored on desktop hard drives, removed all ePHI from its computers, and stored ePHI on the centralized secured network servers.  The CE also revised its policy and procedure on password management and provided training to all staff on its new policy."
"The University of Texas at Arlington","TX","Healthcare Provider","27000","07/23/2010","Hacking/IT Incident","Network Server","No","A file server at the Office of Health Services was compromised and impermissibly accessed.  The compromise potentially exposed the prescription records of 27,000 individuals to an unauthorized source.  The protected health information involved in the breach included names, addresses diagnostic codes, name of medication prescribed, medication costs and some social security numbers.  Following the discovery of the breach, UTA removed the server from the network, notified the affected individuals and notified local media.  Following the breach, the covered entity also replaced the operating system and implemented additional technical safeguards.  \"
"Aetna","CT","Health Plan","6372","07/27/2010","","Paper/Films","No","\N"
"Charles Mitchell MD","TX","Healthcare Provider","6873","07/28/2010","Theft","Desktop Computer","No","A burglary occurred at the covered entity's (CE) facility and two desktop computers containing protected health information (PHI) were stolen.  Approximately 6873 individuals were affected.  The PHI involved included names, addresses, dates of birth, social security numbers, diagnoses and conditions, medications, and other treatment information.  OCR closed this investigation after determining that the individual who reported the breach worked for a CE no longer in existence."
"WellPoint, Inc.","IN","Health Plan","31700","07/30/2010","Hacking/IT Incident","Network Server","No","\N"
"Matrix Imaging","NY","Business Associate","2631","07/30/2010","Theft","Paper/Films","Yes","The covered entity's (CE) business associate (BA) sent coverage determination letters to incorrect addresses, affecting 2,631 individuals.  The protected health information (PHI) included names, addresses, unique CE identification numbers, and prescription drug information.  Following the breach, the CE reprinted all erroneous coverage determination letters with an apology notice and provided breach notification to all affected individuals and HHS.  The CE implemented additional policies and procedures to ensure mailing list accuracy.  Specifically, the CE implemented a multiple-step quality assurance process and established verification with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.  As a result of OCR's investigation, the CE placed a record into its accounting of disclosure records for each individual impacted."
"Mercer","","Business Associate","1073","07/30/2010","Loss","Other","Yes","\N"
"Carolina Center for Development and Rehabilitation","NC","Healthcare Provider","1590","07/30/2010","Theft","Paper/Films","No","The covered entity's (CE) staff inadvertently sent twenty-three boxes containing the protected health information (PHI) of 1,590 patients to a recycling center.  The PHI included patients' full names, addresses, dates of birth, social security numbers, insurance identification numbers, driver's license numbers, diagnoses, medication information, checking and savings account numbers, credit and debit card numbers, and photographs of the patients.  Following the breach, the CE immediately took steps for the records to be returned.  The CE notified HHS, the media, and all individuals affected by the breach, and established a toll free number for patients to call for more information.  The CE cooperated with the state attorney general's investigation and suspended the responsible staff members.  Following OCR's investigation, the CE placed a record into its accounting of disclosure log for each individual affected and terminated the employment of the staff involved in the breach.  In addition, the CE revised its policies and procedures regarding the rights of individuals and safeguards for PHI, and re-trained staff.  "
"Texas Children's Hospital","TX","Healthcare Provider","694","07/30/2010","Theft","Laptop","No","\N"
"Baylor College of Medicine","TX","Healthcare Provider","1646","07/30/2010","Theft","Laptop","No","An unencrypted laptop computer was stolen from an administrative office.  The laptop contained the protected health information (PHI) of approximately 1,618 patients (originally reported as 1,646).  The types of PHI involved in the breach included the demographic and clinical information of pediatric cardiology patients, including names, medical record numbers, dates of service, diagnoses, and dates of birth.  Following the breach, the covered entity (CE), Texas Children’s Hospital, and Baylor College of Medicine (which filed a separate breach report) jointly notified the affected individuals and the local media after a delay due to a law enforcement request.  As a result of OCR’s investigation, the CE revised several information technology policies and modified physical safeguards."
"Penn Treaty Network America Insurance Company ","PA","Health Plan","560","08/03/2010","Other","Other","No","Social security numbers were inadvertently printed on the address labels in a newsletter mailing.  The mailing had 560 recipients.  The covered entity acted to mitigate the disclosure by verifying that the all mail was correctly delivered.  It also counseled the responsible employee and updated its policies and procedures.\"
"Wright State Physicians","OH","Healthcare Provider","1309","08/03/2010","Other","Laptop","No","On June 11, 2010, a laptop computer containing PHI was mistakenly discarded in the trash. The laptop computer contained the protected health information of approximately 1,309 individuals. The protected health information involved in the breach included patient full names or first initial and last name, dates of service, and in some cases, a brief description of medical condition or care. Following the breach, the covered entity submitted evidence of its progress in implementing encryption on its laptop computers in its various departments.         \"
"Jewish Hospital","KY","Healthcare Provider","2089","08/05/2010","Theft","Laptop","No","\N"
"McKesson Pharmacy Systems LLC","GA","Business Associate","11440","08/05/2010","Other","Other, Other Portable Electronic Device","Yes","\N"
"Aultman Hospital","OH","Healthcare Provider","13867","08/05/2010","Theft","Laptop","No","A password-protected laptop, which was maintained by the covered entity (CE), Aultman Hospital, was stolen from an employee’s car, which contained the electronic protected health information (ePHI) of approximately 13,867 individuals, including patients’ names, dates of birth, telephone numbers, social security numbers, insurance identification, and health information related to home health services.  The CE provided breach notification to HHS, affected individuals, and the media, posted notification of the breach on its website, and reported the theft to the local police department.  The CE also offered one year of free credit monitoring services to affected individuals. Following the breach, the CE revised its HIPAA policies and procedures, enhanced encryption and updated software on its laptops, sanctioned employee(s) involved in the breach incident, and retrained its workforce on the revised policies and procedures. OCR obtained documentation evidencing that the CE implemented the corrective actions listed.   "
"Fort Worth Allergy and Asthma Associates","TX","Healthcare Provider","25000","08/05/2010","Theft","Network Server","No","Several computers, including a server, were stolen during a burglary at the covered entity's (CE) premises. The breach affected approximately 25,000 individuals and included names, addresses, dates of birth, social security numbers, driver license numbers, diagnoses, and conditions. Following the breach, the CE provided breach notification to affected individuals, the media, and HHS.  It also improved physical security and began using a new model for its management practices with an off-site encrypted database.  After the initiation of OCR'S investigation, the CE amended its business associate agreement.\\\"
"Beauty Dental, Inc.","IL","Healthcare Provider","657","08/05/2010","Loss, Theft","Paper/Films","No","Following the breach, the covered entity notified its clients by letter of the incident, submitted a press release that outlined the circumstances of the breach to the Chicago Tribune and the Chicago Sun Times, required the individual who allegedly stole the documents to return all physical patient PHI in her possession and sign a statement swearing that she no longer possessed any patient documents, would not use or disclose the PHI in any manner and would erase an excel spreadsheet she had in her possession, installed a new security system for the office that requires the input of a code specific to each employee, and implemented new technical safeguards that limited employee access to ePHI according to the employee's position and rank.\"
"UNCG Speech and Hearing Center","NC","Healthcare Provider","2300","08/09/2010","Hacking/IT Incident","Desktop Computer","No","Computer malware was detected on the covered entity’s (CE) unencrypted billing software program, “Therapist Helper.”  The CE did not know when the malware entered its system.  Approximately 2,300 individuals were potentially affected by this malware virus.  The types of protected health information (PHI) involved included demographic, financial (claims information), and clinical information (diagnoses/conditions, medications, lab results, and other treatment information).  Following the breach, the CE applied security and privacy safeguards, mitigated harm, and implemented sanctions.  The CE also reported working and cooperating with the local law enforcement.  As a result of OCR’s investigation, the CE implementing processes and deployed software to detect, prevent, and mitigate malware on its computers, installed new computers and systems to segregate electronic PHI, and implemented additional procedures to increase awareness of and ensure compliance with technical and physical safeguards.  The CE also placed an accounting of disclosures in the medical records of the affected individuals, and complied with the applicable notification provisions of the Breach Notification Rule."
"St. John's Mercy Medical Group","MO","Healthcare Provider","1907","08/09/2010","Improper Disposal","Paper/Films","No","Covered entity improperly disposed of patients' Protected Health Information (PHI), by placing the PHI in a dumpster outside of a doctor's office. The PHI involved in the breach included demographic, financial, clinical, and other medical information. Following the breach, the covered entity notified all affected individuals of the breach, posted a notice about the incident on its website; attempted to retrieve and track all of the medical records that were inappropriately disposed of; offered all affected individuals identity theft protection; obtained a formal apology from and assumed direct office operations management of the physician involved; re-educated its workforce to reinforce policies relating to appropriate medical record protection and disposal requirements.\"
"Thomas Jefferson University Hospitals, Inc.","PA","Healthcare Provider","21000","08/09/2010","Theft","Laptop","No","\N"
"Mercer Health & Benefits","ID","Business Associate","5500","08/10/2010","Loss","Other","Yes","Idaho Power Group Health Plan's business associate, Mercer Health and Benefits, lost a backup tape as it was being sent via FEDEX from Boise to Seattle. The backup tape contained information of about 375,000 individuals that Mercer serviced. The total affected at Idaho Power was about 5,500 current and former employees and their dependents. The protected health information involved included names, addresses, dates of birth, and social security numbers. Although Mercer concluded that the lost tape was configured so that even a sophisticated user would be unlikely to be able to access the data within, both Mercer and Idaho Power notified all possible affected individuals and offered free credit protection services. To prevent a similar breach from occurring in the future, Mercer now stores backup tapes through a third party vendor who offers secure transport services. Mercer's Boise office now encrypts backup tapes. Following the incident, Idaho Power renegotiated its contract with Mercer and continues to evaluate its business relationship with Mercer.\"
"Ward A. Morris, DDS","WA","Healthcare Provider","2698","08/11/2010","Theft","Desktop Computer","No","The covered entity’s (CE), computer server containing the electronic protected health information (ePHI) of 2,698 patients was stolen during an office burglary. The server was password-protected but not encrypted. The types of ePHI involved in the breach included names, addresses, dates of birth, social security numbers, and medical information.  The CE provided breach notification to HHS, affected individuals, and the media, and posted substitute notice.  Following the breach, the CE encrypted all ePHI on computer workstations and servers. As a result of OCR’s investigation, the CE improved its physical safeguards and retrained employees.
"
"Chattanooga Family Practice Associates, P.C.","TN","Healthcare Provider","1711","08/16/2010","Loss","Other, Other Portable Electronic Device","No","A physician of the CE lost a flash drive which he routinely used for data backup and remote access to patient data.  The flash drive contained names, dates of birth and treatment notes for approximately 1,711 patients.  Following the breach, the CE notified affected individuals.  The CE retrained the physician who lost the flash drive and implemented an organization-wide decision to prohibit storage of protected health information on any removable electronic devices.  As a result of OCR’s investigation, the CE notified the media and posting substitute notification on its website. "
"Yale University","CT","Healthcare Provider","1000","08/18/2010","Theft","Laptop","No","An unsecured laptop computer containing sensitive protected health information (PHI) involving the Ryan White Part A program, involving approximately 1,000 individuals, was stolen from an office building on Yale’s premises.  The types of PHI contained on the laptop consisted of names, dates of birth, diagnoses/conditions, medications, lab results, and other treatment information.  The covered entity (CE) provided breach notification to HHS, the media and affected individuals.  Following the breach, the CE installed access card readers for entry to the office suite, inspected the facility’s alarm system, replaced custodial staff, and limited cleaning to office hours.  The CE also accelerated the implementation of safeguards created prior to the theft,  implemented mandatory encryption for all mobile devices, and created a new system to ensure all employees complete mandatory Privacy and Security Awareness training.  The CE also revised several policies and procedures on ePHI security.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Eastmoreland Surgical Clinic, William Graham, DO","OR","Healthcare Provider","4328","08/20/2010","Theft","Desktop Computer, Laptop, Other, Other Portable Electronic Device","No","Three desktop computers, one laptop computer, and a backup drive, containing the electronic protected health information (EPHI) of 4,328 individuals, were stolen on July 5, 2010.  The EPHI involved in the breach included names, addresses, phone numbers, dates of birth, Social Security numbers, reason for visits, and insurance information.  Following the breach, the covered entity implemented backup and whole disk encryption on electronic information systems that maintain EPHI and improved their physical safeguards.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as password complexity requirements and data backup protocols.\"
"Cook County Health & Hospitals System","IL","Healthcare Provider","7081","08/20/2010","Theft","Laptop","No","An employee's laptop was stolen out of a locked office; evidence shows that the laptop was password protected but not encrypted.  The laptop contained the protected health information (PHI) of approximately 7,000 individuals.  The PHI stored on the laptop included names, dates of birth, Social Security numbers, internal encounter numbers, and other administrative codes.  Following the breach, the covered entity notified those individuals reasonably believed to have been affected by the breach, placed notice on its website and with a local news center; established stringent computer security guidelines, and retrained its staff in the new requirements with the intention of preventing a similar event from occurring again.\"
"SunBridge Healthcare Corporation","NM","Healthcare Provider","1000","08/25/2010","Theft","Other, Other Portable Electronic Device","No","A BlackBerry personal digital assistant device, which stored the protected health information (PHI) of 1,000 patients, was stolen from a workforce member.  The types of PHI involved in the breach included names, birthdates, diagnoses/conditions, and other treatment information.  The CE provided breach notification to HHS, affected individuals, and the media, and offered identity theft protection services to the individuals.  Following the breach, the CE encrypted and password protected all its Blackberry devices.  As a result of OCR’s investigation, the CE changed its Blackberry encryption policy.  "
"Pioneer Valley Pathology","MA","Business Associate","24750","08/25/2010","Theft","Paper/Films","Yes","A Boston Globe employee discovered the unsecured paper medical records of Pioneer Valley Pathology, a group practice with offices inside Holyoke Medical Center (HMC), at a trash transfer station.  The breach affected approximately 24,750 individuals.  The PHI involved in the breach included names, addresses, dates of birth, social security numbers, insurance information, and medical information.  HMC is not the covered entity (CE) responsible for this breach and it field the breach report in error.  OCR provided HMC with technical assistance related to breach notification.  OCR opened a compliance review against the CE responsible for this breach. "
"KPMG LLP","NY","Business Associate","3630","08/26/2010","Theft","Other Portable Electronic Device","Yes","The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. "
"KPMG LLP","NY","Business Associate","956","08/26/2010","Theft","Other, Other Portable Electronic Device","Yes","OCR opened an investigation of the covered entity (CE), Newark Beth Israel Medical Center, after it reported an employee of the CE's business associate (BA), KPMG LLP, lost an unencrypted USB drive that contained the electronic protected health information (ePHI) of 956 individuals.  The ePHI included names and clinical information.  Upon discovery of the breach, the CE's BA conducted a search of the area.  The CE provided breach notification to HHS, the Media and affected individuals.  As a result of OCR's investigation, the BA installed and implemented encryption software to its electronic equipment and devices.  In addition, the BA encrypted and password protected all equipment and devices that could contain the CE's data.  The BA also reprimanded and retrained the employee and retrained all employees on safeguarding ePHI.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
"NYU School of Medicine--Aging and Dementia Clinical Research Center ","NY","Healthcare Provider","1200","08/27/2010","Loss","Other, Other Portable Electronic Device","No","\N"
"University of Rochester Medical Center and Affiliates","NY","Healthcare Provider","857","09/07/2010","Loss","Other Portable Electronic Device","No","\N"
"Aon Consulting","PA","Business Associate","22642","09/07/2010","Other","Network Server","Yes","The business associate prepared a document as part of a request for proposal for the covered entity's vision benefit program which mistakenly included protected health information of 22,642 individuals.  The document was posted online for five days.  The protected health information involved in the breach included social security numbers, dates of birth, gender, zip codes, and vision plan enrollment information.  In response to this incident, the covered entity implemented additional safeguards to prevent this type of impermissible disclosure of protected health information.  In particular, the covered entity will now require several layers of review before allowing public disclosure of documents prepared by the business associate.  The covered entity also took steps to enforce the requirements of its business associate agreement with Aon Consulting.  Aon will provide affected individuals with free credit monitoring, fraud resolution resources, and identity theft insurance.  Additionally, the business associate has provided assurances to the covered entity that it has taken steps to prevent this type of impermissible disclosure in the future.\"
